,Player,Pos,Club,Birth Place,Birth Date,Age_x,MP,Min,Gls,Team,Age_y,Starts,90s,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xAG,npxG+xAG,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
103,Justin Bijlow,GK,Feyenoord,"Rotterdam, Netherlands",1998-01-22,24-302,0,0,0,Netherlands,24.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Jeremie Frimpong,"DF,MF",Leverkusen,"Amsterdam, Netherlands",2000-12-10,21-345,0,0,0,Netherlands,21.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Tyrell Malacia,DF,Manchester Utd,"Rotterdam, Netherlands",1999-08-17,23-095,0,0,0,Netherlands,22.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Remko Pasveer,GK,Ajax,"Gemeente Enschede, Netherlands",1983-11-08,39-012,0,0,0,Netherlands,38.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Stefan de Vrij,DF,Inter,"Ouderkerk aan den IJssel, Netherlands",1992-02-05,30-288,0,0,0,Netherlands,30.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Conor Coady,"DF,MF",Everton,"Liverpool, England, United Kingdom",1993-02-25,29-268,0,0,0,England,29.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Conor Gallagher,MF,Chelsea,"Epsom, England, United Kingdom",2000-02-06,22-287,0,0,0,England,22.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,James Maddison,"FW,MF",Leicester City,"Coventry, England, United Kingdom",1996-11-23,25-362,0,0,0,England,25.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Nick Pope,GK,Newcastle Utd,"Soham, England, United Kingdom",1992-04-19,30-215,0,0,0,England,30.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Aaron Ramsdale,GK,Arsenal,"Staffordshire, England, United Kingdom",1998-05-14,24-190,0,0,0,England,24.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Ben White,DF,Arsenal,"Poole, England, United Kingdom",1997-10-08,25-043,0,0,0,England,24.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,João Cancelo,DF,Manchester City,"Barreiro, Portugal",1994-05-27,28-177,4,310,0,Portugal,28.0,3,3.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
115,William Carvalho,MF,Betis,"Luanda, Angola",1992-04-07,30-227,4,215,0,Portugal,30.0,2,2.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03
116,Diogo Costa,GK,Porto,"Rothrist, Switzerland",1999-09-19,23-062,5,450,0,Portugal,22.0,5,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
117,Diogo Dalot,DF,Manchester Utd,"Braga, Portugal",1999-03-18,23-247,3,258,0,Portugal,23.0,3,2.9,2,0,0,0,0,0,0.0,0.7,0.7,0.0,0.7,0.0,0.0,0.7,0.8,0.01,0.25,0.26,0.01,0.26
118,Rúben Dias,DF,Manchester City,"Amadora, Portugal",1997-05-14,25-190,4,360,0,Portugal,25.0,4,4.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
119,João Félix,FW,Atlético Madrid,"Viseu, Portugal",1999-11-10,23-010,4,331,1,Portugal,22.0,4,3.7,2,1,0,0,1,0,0.27,0.54,0.82,0.27,0.82,0.9,0.9,0.4,1.2,0.24,0.1,0.34,0.24,0.34
120,Bruno Fernandes,"FW,MF",Manchester Utd,"Maia, Portugal",1994-09-08,28-073,4,356,2,Portugal,27.0,4,4.0,3,1,1,1,1,0,0.51,0.76,1.26,0.25,1.01,1.1,0.3,1.7,2.0,0.28,0.42,0.71,0.08,0.51
121,Raphaël Guerreiro,DF,Dortmund,"Le Blanc-Mesnil, France",1993-12-22,28-333,4,279,1,Portugal,28.0,3,3.1,2,1,0,0,0,0,0.32,0.65,0.97,0.32,0.97,0.4,0.4,0.6,1.0,0.12,0.19,0.31,0.12,0.31
122,Ricardo Horta,FW,Braga,"Sobreda, Portugal",1994-09-15,28-066,3,119,1,Portugal,27.0,1,1.3,0,1,0,0,0,0,0.76,0.0,0.76,0.76,0.76,0.8,0.8,0.1,0.8,0.58,0.05,0.63,0.58,0.63
123,Rafael Leão,FW,Milan,"Almada, Portugal",1999-06-10,23-163,5,88,2,Portugal,23.0,0,1.0,0,2,0,0,0,0,2.05,0.0,2.05,2.05,2.05,0.4,0.4,0.2,0.6,0.42,0.16,0.57,0.42,0.57
124,João Mário,"FW,MF",Benfica,"Porto, Portugal",1993-01-19,29-305,2,84,0,Portugal,29.0,1,0.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Nuno Mendes,DF,Paris S-G,"Sintra, Portugal",2002-06-19,20-154,1,41,0,Portugal,19.0,1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04
126,Rúben Neves,MF,Wolves,"Mozelos, Portugal",1997-03-13,25-252,5,268,0,Portugal,25.0,4,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04
127,Matheus Nunes,MF,Wolves,"Rio de Janeiro, Brazil",1998-08-27,24-085,2,73,0,Portugal,23.0,1,0.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.03,0.12,0.14,0.03,0.14
128,Otávio,MF,Porto,"João Pessoa, Brazil",1995-02-09,27-284,3,196,0,Portugal,27.0,3,2.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.05,0.17,0.23,0.05,0.23
129,João Palhinha,MF,Fulham,"Lisbon, Portugal",1995-07-09,27-134,3,38,0,Portugal,26.0,0,0.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.06,0.3,0.36,0.06,0.36
130,Rui Patrício,GK,Roma,"Marrazes, Portugal",1988-02-15,34-278,0,0,0,Portugal,34.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Pepe,DF,Porto,"Maceió, Brazil",1983-02-26,39-267,4,360,1,Portugal,39.0,4,4.0,0,1,0,0,0,0,0.25,0.0,0.25,0.25,0.25,0.4,0.4,0.0,0.4,0.11,0.0,0.11,0.11,0.11
132,Danilo Pereira,DF,Paris S-G,"Bissau, Guinea-Bissau",1991-09-09,31-072,1,90,0,Portugal,30.0,1,1.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Gonçalo Ramos,"FW,MF",Benfica,"Olhão, Portugal",2001-06-20,21-153,4,152,3,Portugal,20.0,2,1.7,1,3,0,0,0,0,1.78,0.59,2.37,1.78,2.37,1.6,1.6,0.4,1.9,0.93,0.21,1.13,0.93,1.13
134,Cristiano Ronaldo,FW,Manchester Utd,"Funchal, Portugal",1985-02-05,37-288,5,290,1,Portugal,37.0,3,3.2,0,0,1,1,0,0,0.31,0.0,0.31,0.0,0.0,1.6,0.8,0.1,1.0,0.51,0.04,0.55,0.26,0.3
135,José Sá,GK,Wolves,"Braga, Portugal",1993-01-17,29-307,0,0,0,Portugal,29.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,André Silva,FW,RB Leipzig,"Baguim do Monte, Portugal",1995-11-06,27-014,1,26,0,Portugal,26.0,0,0.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.21,0.21,0.0,0.21
137,António Silva,DF,Benfica,"Portugal, Portugal",2003-10-30,19-021,1,90,0,Portugal,18.0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Bernardo Silva,MF,Manchester City,"Lisbon, Portugal",1994-08-10,28-102,5,356,0,Portugal,27.0,4,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.5,0.04,0.09,0.14,0.04,0.14
139,Vitinha,MF,Paris S-G,"Portugal, Portugal",2000-02-13,22-280,3,120,0,Portugal,22.0,1,1.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.03,0.08,0.05,0.08
140,Takuma Asano,FW,Bochum,"Komono, Japan",1994-11-10,28-010,4,165,1,Japan,27.0,0,1.8,0,1,0,0,0,0,0.55,0.0,0.55,0.55,0.55,0.7,0.7,0.2,0.9,0.44,0.17,0.6,0.44,0.6
141,Ritsu Doan,FW,Freiburg,"Amagasaki Shi, Japan",1998-06-16,24-157,4,217,2,Japan,23.0,2,2.4,0,2,0,0,0,0,0.83,0.0,0.83,0.83,0.83,0.5,0.5,0.2,0.7,0.21,0.07,0.28,0.21,0.28
142,Wataru Endo,MF,Stuttgart,"Yokohama Shi, Japan",1993-02-09,29-284,4,304,0,Japan,29.0,3,3.4,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.6,0.06,0.15,0.21,0.06,0.21
143,Shūichi Gonda,GK,S-Pulse,"Setagaya-ku, Japan",1989-03-03,33-262,4,390,0,Japan,33.0,4,4.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Ko Itakura,DF,M'Gladbach,"Yokohama Shi, Japan",1997-01-27,25-297,3,270,0,Japan,25.0,3,3.0,1,0,0,0,2,0,0.0,0.33,0.33,0.0,0.33,0.2,0.2,0.1,0.2,0.05,0.03,0.08,0.05,0.08
145,Hiroki Ito,DF,Stuttgart,"Hamamatsu-shi, Japan",1999-05-12,23-192,1,45,0,Japan,23.0,0,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09
146,Junya Ito,"MF,FW",Reims,"Yokosuka, Japan",1993-03-09,29-256,4,324,0,Japan,29.0,3,3.6,1,0,0,0,0,0,0.0,0.28,0.28,0.0,0.28,0.2,0.2,0.2,0.4,0.05,0.07,0.12,0.05,0.12
147,Daichi Kamada,"FW,MF",Eint Frankfurt,Japan,1996-08-05,26-107,4,322,0,Japan,25.0,4,3.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.7,0.18,0.01,0.19,0.18,0.19
148,Eiji Kawashima,GK,Strasbourg,"Yono, Japan",1983-03-20,39-245,0,0,0,Japan,39.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Takefusa Kubo,FW,Real Sociedad,"Kawasaki-shi, Japan",2001-06-04,21-169,2,90,0,Japan,21.0,2,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Shuto Machino,FW,Shonan Bellmare,"Iga-shi, Japan",1999-09-30,23-051,0,0,0,Japan,22.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Daizen Maeda,FW,Celtic,Japan,1997-10-20,25-031,3,180,1,Japan,24.0,3,2.0,0,1,0,0,0,0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.24,0.0,0.24,0.24,0.24
152,Takumi Minamino,FW,Monaco,"Izumisano Shi, Japan",1995-01-16,27-308,3,60,0,Japan,27.0,0,0.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.36,0.0,0.36,0.36,0.36
153,Kaoru Mitoma,MF,Brighton,"Ōita, Japan",1997-05-20,25-184,4,165,0,Japan,25.0,0,1.8,1,0,0,0,0,0,0.0,0.55,0.55,0.0,0.55,0.1,0.1,1.2,1.3,0.05,0.83,0.88,0.05,0.88
154,Hidemasa Morita,MF,Sporting CP,"Takatsuki, Japan",1995-05-10,27-194,3,285,0,Japan,27.0,3,3.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.05,0.03,0.08,0.05,0.08
155,Yuto Nagatomo,"MF,DF",FC Tokyo,"Saijō Shi, Japan",1986-09-12,36-069,4,209,0,Japan,35.0,4,2.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.05,0.0,0.05
156,Hiroki Sakai,"MF,DF",Urawa Reds,"Kashiwa, Japan",1990-04-12,32-222,2,119,0,Japan,32.0,1,1.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.54,0.07,0.61,0.54,0.61
157,Daniel Schmidt,GK,Sint-Truiden,"IL, United States",1992-02-03,30-290,0,0,0,Japan,30.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Gaku Shibasaki,MF,Leganés,"Nobeji, Japan",1992-05-28,30-176,0,0,0,Japan,30.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Yuki Soma,"FW,MF",Grampus,Japan,1997-02-25,25-268,1,81,0,Japan,25.0,1,0.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.21,0.0,0.21,0.21,0.21
160,Ao Tanaka,MF,Düsseldorf,"Kawasaki, Japan",1998-09-10,24-071,3,171,1,Japan,23.0,2,1.9,0,1,0,0,0,0,0.53,0.0,0.53,0.53,0.53,1.0,1.0,0.1,1.0,0.55,0.05,0.6,0.55,0.6
161,Shogo Taniguchi,DF,Kawa Frontale,"Kumamoto Shi, Japan",1991-07-15,31-128,2,210,0,Japan,30.0,2,2.3,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.12,0.0,0.12,0.12,0.12
162,Takehiro Tomiyasu,"DF,MF",Arsenal,"Fukuoka, Japan",1998-11-05,24-015,3,187,0,Japan,23.0,1,2.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.11,0.11,0.0,0.11
163,Ayase Ueda,FW,Cercle Brugge,"Mito, Japan",1998-09-10,24-071,1,45,0,Japan,23.0,1,0.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
164,Miki Yamane,"DF,MF",Kawa Frontale,"Yokohama Shi, Japan",1993-12-22,28-333,1,61,0,Japan,28.0,1,0.7,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.11,0.11,0.0,0.11
165,Maya Yoshida,DF,Schalke 04,"Nagasaki-shi, Japan",1988-08-24,34-088,4,390,0,Japan,33.0,4,4.3,1,0,0,0,1,0,0.0,0.23,0.23,0.0,0.23,0.0,0.0,0.4,0.4,0.0,0.09,0.09,0.0,0.09
166,Pape Abou Cissé,DF,Olympiacos,"Pikine, Senegal",1995-09-14,27-067,3,105,0,Senegal,26.0,1,1.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Fodé Ballo-Touré,DF,Milan,"Conflans-Sainte-Honorine, France",1997-01-03,25-321,1,7,0,Senegal,25.0,0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,Pathé Ciss,MF,Rayo Vallecano,"Dakar, Senegal",1994-03-16,28-249,3,146,0,Senegal,28.0,2,1.6,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
169,Boulaye Dia,FW,Salernitana,"Oyonnax, France",1996-11-16,26-004,4,318,1,Senegal,25.0,4,3.5,0,1,0,0,1,0,0.28,0.0,0.28,0.28,0.28,0.7,0.7,0.0,0.8,0.21,0.01,0.22,0.21,0.22
170,Abdou Diallo,DF,RB Leipzig,"Tours, France",1996-05-04,26-200,4,331,0,Senegal,26.0,4,3.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.02,0.03,0.01,0.03
171,Krépin Diatta,"FW,MF",Monaco,"Dakar, Senegal",1999-02-25,23-268,3,181,0,Senegal,23.0,3,2.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.06,0.09,0.16,0.06,0.16
172,Famara Diedhiou,FW,Alanyaspor,"Saint-Louis, Senegal",1992-12-15,29-340,2,92,1,Senegal,29.0,1,1.0,0,1,0,0,0,0,0.98,0.0,0.98,0.98,0.98,0.2,0.2,0.0,0.2,0.19,0.03,0.22,0.19,0.22
173,Bamba Dieng,FW,Marseille,"Pikine, Senegal",2000-03-23,22-242,4,100,1,Senegal,22.0,0,1.1,0,1,0,0,0,0,0.9,0.0,0.9,0.9,0.9,0.5,0.5,0.1,0.6,0.45,0.05,0.5,0.45,0.5
174,Seny Dieng,GK,QPR,"Zürich, Switzerland",1994-11-23,27-362,0,0,0,Senegal,27.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Idrissa Gana Gueye,MF,Everton,"Dakar, Senegal",1989-09-26,33-055,3,270,0,Senegal,32.0,3,3.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.11,0.03,0.14,0.11,0.14
176,Alfred Gomis,GK,Rennes,"Ziguinchor, Senegal",1993-09-05,29-076,0,0,0,Senegal,28.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Pape Gueye,MF,Marseille,"Montreuil, France",1999-01-24,23-300,3,153,0,Senegal,23.0,1,1.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.07,0.11,0.18,0.07,0.18
178,Nicolas Jackson,FW,Villarreal,"Banjul, Gambia",2001-06-20,21-153,1,17,0,Senegal,20.0,0,0.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,Ismail Jakobs,DF,Monaco,"Köln, Germany",1999-08-17,23-095,4,278,0,Senegal,22.0,3,3.1,1,0,0,0,1,0,0.0,0.32,0.32,0.0,0.32,0.0,0.0,0.3,0.3,0.0,0.1,0.11,0.0,0.11
180,Kalidou Koulibaly,DF,Chelsea,"Saint-Dié-des-Vosges, France",1991-06-20,31-153,4,360,1,Senegal,30.0,4,4.0,0,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25,0.5,0.5,0.0,0.5,0.12,0.01,0.13,0.12,0.13
181,Cheikhou Kouyaté,MF,Nott'ham Forest,"Dakar, Senegal",1989-12-21,32-334,1,72,0,Senegal,32.0,1,0.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05
182,Mamadou Loum,MF,Reading,"Dakar, Senegal",1996-12-30,25-325,0,0,0,Senegal,25.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Pape Matar Sarr,MF,Tottenham,"Thiaroye, Senegal",2002-09-14,20-067,2,59,0,Senegal,19.0,0,0.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.18,0.05,0.23,0.18,0.23
184,Edouard Mendy,GK,Chelsea,"Montivilliers, France",1992-03-01,30-264,4,360,0,Senegal,30.0,4,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
185,Formose Mendy,DF,Amiens,"Dakar, Senegal",2001-01-02,21-322,0,0,0,Senegal,21.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Nampalys Mendy,MF,Leicester City,"La Seyne-sur-Mer, France",1992-06-23,30-150,4,272,0,Senegal,29.0,3,3.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03
187,Moussa N'Diaye,DF,Anderlecht,"Dakar, Senegal",2002-06-18,20-155,0,0,0,Senegal,19.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,Moustapha Name,MF,Pafos FC,"Dakar, Senegal",1995-05-05,27-199,0,0,0,Senegal,27.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Iliman Ndiaye,"FW,MF",Sheffield Utd,"Rouen, France",2000-03-06,22-259,3,135,0,Senegal,22.0,2,1.5,1,0,0,0,0,0,0.0,0.67,0.67,0.0,0.67,0.1,0.1,0.2,0.3,0.09,0.14,0.22,0.09,0.22
190,Youssouf Sabaly,DF,Betis,"Le Chesnay, France",1993-03-05,29-260,4,360,0,Senegal,29.0,4,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.01,0.16,0.18,0.01,0.18
191,Ismaila Sarr,"FW,MF",Watford,"Saint-Louis, Senegal",1998-02-25,24-268,4,344,1,Senegal,24.0,4,3.8,0,0,1,1,0,0,0.26,0.0,0.26,0.0,0.0,1.7,0.9,0.4,1.3,0.43,0.11,0.55,0.23,0.34
192,Nathaniel Atkinson,DF,Hearts,"Launceston, Australia",1999-06-13,23-160,1,84,0,Australia,23.0,1,0.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Keanu Baccus,MF,St Mirren,"Durban, South Africa",1998-06-07,24-166,4,114,0,Australia,24.0,1,1.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
194,Aziz Behich,DF,Dundee United,"Moonee Ponds, Australia",1990-12-16,31-339,4,360,0,Australia,31.0,4,4.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03
195,Jason Cummings,FW,Central Coast,"Edinburgh, Scotland, United Kingdom",1995-08-01,27-111,1,35,0,Australia,26.0,0,0.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Miloš Degenek,DF,Columbus Crew,"Knin, Croatia",1994-04-28,28-206,4,183,0,Australia,28.0,2,2.0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Thomas Deng,DF,Albirex Niigata,"Nairobi, Kenya",1997-03-20,25-245,0,0,0,Australia,25.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Cameron Devlin,MF,Hearts,"Sydney, Australia",1998-06-07,24-166,0,0,0,Australia,24.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Mitchell Duke,FW,Fagi Okayama,"Liverpool, Australia",1991-01-18,31-306,4,270,1,Australia,31.0,4,3.0,0,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33,0.4,0.4,0.0,0.4,0.12,0.01,0.13,0.12,0.13
200,Craig Goodwin,MF,Adelaide,"Adelaide, Australia",1991-12-16,30-339,4,234,1,Australia,30.0,3,2.6,1,1,0,0,0,0,0.38,0.38,0.77,0.38,0.77,0.3,0.3,0.6,0.9,0.11,0.25,0.36,0.11,0.36
201,Ajdin Hrustic,"MF,FW",Hellas Verona,"Melbourne, Australia",1996-07-05,26-138,3,62,0,Australia,25.0,0,0.7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
202,Jackson Irvine,"MF,FW",St. Pauli,"Melbourne, Australia",1993-03-07,29-258,4,354,0,Australia,29.0,4,3.9,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.6,0.13,0.01,0.14,0.13,0.14
203,Fran Karačić,DF,Brescia,"Zagreb, Croatia",1996-05-12,26-192,2,93,0,Australia,26.0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.17,0.09,0.27,0.17,0.27
204,Joel King,DF,Odense,"Figtree, Australia",2000-10-30,22-021,0,0,0,Australia,21.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Garang Kuol,"FW,MF",Central Coast,"Khartoum, Sudan",2004-09-15,18-066,2,37,0,Australia,17.0,0,0.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.92,0.0,0.92,0.92,0.92
206,Mathew Leckie,"MF,FW",Melb City,"Melbourne, Australia",1991-02-04,31-289,4,333,1,Australia,31.0,4,3.7,1,1,0,0,0,0,0.27,0.27,0.54,0.27,0.54,0.1,0.1,0.3,0.5,0.04,0.08,0.12,0.04,0.12
