,#,Player,Pos,Club,Birth Place,Birth Date,Age,MP,Min,Gls
12,10.0,Takumi Minamino,FW,1.fr Monaco,"Izumisano Shi, Japan",1995-01-16,27-308,3.0,60.0,0.0
13,9.0,Kaoru Mitoma,MF,1.eng Brighton,"Ōita, Japan",1997-05-20,25-184,4.0,165.0,0.0
14,13.0,Hidemasa Morita,MF,1.pt Sporting CP,"Takatsuki, Japan",1995-05-10,27-194,3.0,285.0,0.0
15,5.0,Yuto Nagatomo,"MF,DF",1.jp FC Tokyo,"Saijō Shi, Japan",1986-09-12,36-069,4.0,209.0,0.0
16,19.0,Hiroki Sakai,"MF,DF",1.jp Urawa Reds,"Kashiwa, Japan",1990-04-12,32-222,2.0,119.0,0.0
17,23.0,Daniel Schmidt,GK,1.be Sint-Truiden,"IL, United States",1992-02-03,30-290,0.0,,
18,7.0,Gaku Shibasaki,MF,2.es Leganés,"Nobeji, Japan",1992-05-28,30-176,0.0,,
19,24.0,Yuki Soma,"FW,MF",1.jp Grampus,Japan,1997-02-25,25-268,1.0,81.0,0.0
20,17.0,Ao Tanaka,MF,2.de Düsseldorf,"Kawasaki, Japan",1998-09-10,24-071,3.0,171.0,1.0
21,3.0,Shogo Taniguchi,DF,1.jp Kawa Frontale,"Kumamoto Shi, Japan",1991-07-15,31-128,2.0,210.0,0.0
22,16.0,Takehiro Tomiyasu,"DF,MF",1.eng Arsenal,"Fukuoka, Japan",1998-11-05,24-015,3.0,187.0,0.0
23,21.0,Ayase Ueda,FW,1.be Cercle Brugge,"Mito, Japan",1998-09-10,24-071,1.0,45.0,0.0
24,2.0,Miki Yamane,"DF,MF",1.jp Kawa Frontale,"Yokohama Shi, Japan",1993-12-22,28-333,1.0,61.0,0.0
25,22.0,Maya Yoshida,DF,1.de Schalke 04,"Nagasaki-shi, Japan",1988-08-24,34-088,4.0,390.0,0.0
0,4.0,Pape Abou Cissé,DF,1.gr Olympiacos,"Pikine, Senegal",1995-09-14,27-067,3.0,105.0,0.0
1,12.0,Fodé Ballo-Touré,DF,1.it Milan,"Conflans-Sainte-Honorine, France",1997-01-03,25-321,1.0,7.0,0.0
2,11.0,Pathé Ciss,MF,1.es Rayo Vallecano,"Dakar, Senegal",1994-03-16,28-249,3.0,146.0,0.0
3,9.0,Boulaye Dia,FW,1.it Salernitana,"Oyonnax, France",1996-11-16,26-004,4.0,318.0,1.0
4,22.0,Abdou Diallo,DF,1.de RB Leipzig,"Tours, France",1996-05-04,26-200,4.0,331.0,0.0
5,15.0,Krépin Diatta,"FW,MF",1.fr Monaco,"Dakar, Senegal",1999-02-25,23-268,3.0,181.0,0.0
6,19.0,Famara Diedhiou,FW,1.tr Alanyaspor,"Saint-Louis, Senegal",1992-12-15,29-340,2.0,92.0,1.0
7,20.0,Bamba Dieng,FW,1.fr Marseille,"Pikine, Senegal",2000-03-23,22-242,4.0,100.0,1.0
8,1.0,Seny Dieng,GK,2.eng QPR,"Zürich, Switzerland",1994-11-23,27-362,0.0,,
9,5.0,Idrissa Gana Gueye,MF,1.eng Everton,"Dakar, Senegal",1989-09-26,33-055,3.0,270.0,0.0
10,23.0,Alfred Gomis,GK,1.fr Rennes,"Ziguinchor, Senegal",1993-09-05,29-076,0.0,,
11,26.0,Pape Gueye,MF,1.fr Marseille,"Montreuil, France",1999-01-24,23-300,3.0,153.0,0.0
12,7.0,Nicolas Jackson,FW,1.es Villarreal,"Banjul, Gambia",2001-06-20,21-153,1.0,17.0,0.0
13,14.0,Ismail Jakobs,DF,1.fr Monaco,"Köln, Germany",1999-08-17,23-095,4.0,278.0,0.0
14,3.0,Kalidou Koulibaly,DF,1.eng Chelsea,"Saint-Dié-des-Vosges, France",1991-06-20,31-153,4.0,360.0,1.0
15,8.0,Cheikhou Kouyaté,MF,1.eng Nott'ham Forest,"Dakar, Senegal",1989-12-21,32-334,1.0,72.0,0.0
16,25.0,Mamadou Loum,MF,2.eng Reading,"Dakar, Senegal",1996-12-30,25-325,0.0,,
17,17.0,Pape Matar Sarr,MF,1.eng Tottenham,"Thiaroye, Senegal",2002-09-14,20-067,2.0,59.0,0.0
18,16.0,Edouard Mendy,GK,1.eng Chelsea,"Montivilliers, France",1992-03-01,30-264,4.0,360.0,0.0
19,2.0,Formose Mendy,DF,2.fr Amiens,"Dakar, Senegal",2001-01-02,21-322,0.0,,
20,6.0,Nampalys Mendy,MF,1.eng Leicester City,"La Seyne-sur-Mer, France",1992-06-23,30-150,4.0,272.0,0.0
21,10.0,Moussa N'Diaye,DF,1.be Anderlecht,"Dakar, Senegal",2002-06-18,20-155,0.0,,
22,24.0,Moustapha Name,MF,1.cy Pafos FC,"Dakar, Senegal",1995-05-05,27-199,0.0,,
23,13.0,Iliman Ndiaye,"FW,MF",2.eng Sheffield Utd,"Rouen, France",2000-03-06,22-259,3.0,135.0,0.0
24,21.0,Youssouf Sabaly,DF,1.es Betis,"Le Chesnay, France",1993-03-05,29-260,4.0,360.0,0.0
25,18.0,Ismaila Sarr,"FW,MF",2.eng Watford,"Saint-Louis, Senegal",1998-02-25,24-268,4.0,344.0,1.0
0,3.0,Nathaniel Atkinson,DF,1.sct Hearts,"Launceston, Australia",1999-06-13,23-160,1.0,84.0,0.0
1,26.0,Keanu Baccus,MF,1.sct St Mirren,"Durban, South Africa",1998-06-07,24-166,4.0,114.0,0.0
2,16.0,Aziz Behich,DF,1.sct Dundee United,"Moonee Ponds, Australia",1990-12-16,31-339,4.0,360.0,0.0
3,25.0,Jason Cummings,FW,1.au Central Coast,"Edinburgh, Scotland, United Kingdom",1995-08-01,27-111,1.0,35.0,0.0
4,2.0,Miloš Degenek,DF,1.us Columbus Crew,"Knin, Croatia",1994-04-28,28-206,4.0,183.0,0.0
5,20.0,Thomas Deng,DF,2.jp Albirex Niigata,"Nairobi, Kenya",1997-03-20,25-245,0.0,,
6,17.0,Cameron Devlin,MF,1.sct Hearts,"Sydney, Australia",1998-06-07,24-166,0.0,,
7,15.0,Mitchell Duke,FW,2.jp Fagi Okayama,"Liverpool, Australia",1991-01-18,31-306,4.0,270.0,1.0
8,23.0,Craig Goodwin,MF,1.au Adelaide,"Adelaide, Australia",1991-12-16,30-339,4.0,234.0,1.0
9,10.0,Ajdin Hrustic,"MF,FW",1.it Hellas Verona,"Melbourne, Australia",1996-07-05,26-138,3.0,62.0,0.0
10,22.0,Jackson Irvine,"MF,FW",2.de St. Pauli,"Melbourne, Australia",1993-03-07,29-258,4.0,354.0,0.0
11,5.0,Fran Karačić,DF,2.it Brescia,"Zagreb, Croatia",1996-05-12,26-192,2.0,93.0,0.0
12,24.0,Joel King,DF,1.dk Odense,"Figtree, Australia",2000-10-30,22-021,0.0,,
13,21.0,Garang Kuol,"FW,MF",1.au Central Coast,"Khartoum, Sudan",2004-09-15,18-066,2.0,37.0,0.0
14,7.0,Mathew Leckie,"MF,FW",1.au Melb City,"Melbourne, Australia",1991-02-04,31-289,4.0,333.0,1.0
15,11.0,Awer Mabil,MF,1.es Cádiz,"Kakuma, Kenya",1995-09-15,27-066,2.0,24.0,0.0
16,9.0,Jamie Maclaren,FW,1.au Melb City,"Melbourne, Australia",1993-07-29,29-114,3.0,55.0,0.0
17,14.0,Riley McGree,"FW,MF",2.eng Middlesbrough,"Adelaide, Australia",1998-11-02,24-018,4.0,265.0,0.0
18,13.0,Aaron Mooy,MF,1.sct Celtic,"Sydney, Australia",1990-09-15,32-066,4.0,360.0,0.0
19,12.0,Andrew Redmayne,GK,1.au Sydney FC,"Gosford, Australia",1989-01-13,33-311,0.0,,
20,4.0,Kye Rowles,DF,1.sct Hearts,"Kiama, Australia",1998-06-24,24-149,4.0,360.0,0.0
21,1.0,Mathew Ryan,GK,1.dk FC Copenhagen,"Plumpton, Australia",1992-04-08,30-226,4.0,360.0,0.0
22,19.0,Harry Souttar,DF,2.eng Stoke City,"Aberdeen, Scotland, United Kingdom",1998-10-22,24-029,4.0,360.0,0.0
23,6.0,Marco Tilio,MF,1.au Melb City,"Hurstville, Australia",2001-08-23,21-089,0.0,,
24,18.0,Danny Vukovic,GK,1.au Central Coast,"Sydney, Australia",1985-03-27,37-238,0.0,,
25,8.0,Bailey Wright,DF,2.eng Sunderland,"Melbourne, Australia",1992-07-28,30-115,1.0,17.0,0.0
0,14.0,Michel Aebischer,"MF,FW",1.it Bologna,"Genève, Switzerland",1997-01-06,25-318,1.0,16.0,0.0
1,5.0,Manuel Akanji,DF,1.eng Manchester City,"Wiesendangen / Wiesendangen (Dorf), Switzerland",1995-07-19,27-124,4.0,360.0,1.0
2,18.0,Eray Cömert,DF,1.es Valencia,"Basel, Switzerland",1998-02-04,24-289,2.0,46.0,0.0
3,4.0,Nico Elvedi,DF,1.de M'Gladbach,"Zürich, Switzerland",1996-09-30,26-051,2.0,180.0,0.0
4,7.0,Breel Embolo,FW,1.fr Monaco,"Yaoundé, Cameroon",1997-02-14,25-279,4.0,323.0,2.0
5,16.0,Christian Fassnacht,FW,1.ch Young Boys,"Zürich, Switzerland",1993-11-11,29-009,1.0,8.0,0.0
6,2.0,Edimilson Fernandes,"FW,DF",1.de Mainz 05,"Sitten, Switzerland",1996-04-15,26-219,3.0,145.0,0.0
7,20.0,Fabian Frei,MF,1.ch Basel,"Frauenfeld, Switzerland",1989-01-08,33-316,2.0,25.0,0.0
8,8.0,Remo Freuler,MF,1.eng Nott'ham Forest,"Ennenda, Switzerland",1992-04-15,30-219,4.0,323.0,1.0
9,26.0,Ardon Jasari,FW,1.ch Luzern,"Cham, Switzerland",2002-07-30,20-113,1.0,2.0,0.0
10,21.0,Gregor Kobel,GK,1.de Dortmund,"Zürich, Switzerland",1997-12-06,24-349,1.0,90.0,0.0
11,24.0,Philipp Köhn,GK,1.at RB Salzburg,"Dinslaken, Germany",1998-04-02,24-232,0.0,,
12,19.0,Noah Okafor,"FW,MF",1.at RB Salzburg,"Binningen, Switzerland",2000-05-24,22-180,3.0,45.0,0.0
13,12.0,Jonas Omlin,GK,1.fr Montpellier,"Sarnen, Switzerland",1994-01-10,28-314,0.0,,
14,25.0,Fabian Rieder,FW,1.ch Young Boys,"Koppigen, Switzerland",2002-02-16,20-277,2.0,68.0,0.0
15,13.0,Ricardo Rodríguez,DF,1.it Torino,"Zürich, Switzerland",1992-08-25,30-087,4.0,359.0,0.0
16,22.0,Fabian Schär,DF,1.eng Newcastle Utd,"Wil, Switzerland",1991-12-20,30-335,2.0,135.0,0.0
17,9.0,Haris Seferović,FW,1.tr Galatasaray,"Sursee, Switzerland",1992-02-22,30-271,3.0,71.0,0.0
18,23.0,Xherdan Shaqiri,"FW,MF",1.us Chicago Fire,"Komuna e Gjilanit, Kosovo",1991-10-10,31-041,3.0,229.0,1.0
19,1.0,Yann Sommer,GK,1.de M'Gladbach,"Morges, Switzerland",1988-12-17,33-338,3.0,270.0,0.0
20,15.0,Djibril Sow,MF,1.de Eint Frankfurt,"Zürich, Switzerland",1997-02-06,25-287,4.0,264.0,0.0
21,,Renato Steffen,FW,1.ch Lugano,"Aarau, Switzerland",1991-11-03,31-017,1.0,32.0,0.0
22,17.0,Ruben Vargas,FW,1.de Augsburg,"Adligenswil, Switzerland",1998-08-05,24-107,4.0,285.0,0.0
23,3.0,Silvan Widmer,DF,1.de Mainz 05,"Aarau, Switzerland",1993-03-05,29-260,3.0,265.0,0.0
24,10.0,Granit Xhaka,MF,1.eng Arsenal,"Basel, Switzerland",1992-09-27,30-054,4.0,360.0,0.0
25,6.0,Denis Zakaria,MF,1.eng Chelsea,"Kinshasa, Congo DR",1996-11-20,26-000,2.0,59.0,0.0
0,18.0,Jordi Alba,DF,1.es Barcelona,"Marmolejo, Spain",1989-03-21,33-244,4.0,264.0,0.0
1,10.0,Marco Asensio,FW,1.es Real Madrid,"Palma de Mallorca, Spain",1996-01-21,26-303,4.0,229.0,1.0
2,2.0,César Azpilicueta,DF,1.eng Chelsea,"Pamplona, Spain",1989-08-28,33-084,2.0,135.0,0.0
3,14.0,Alejandro Balde,DF,1.es Barcelona,"Barcelona, Spain",2003-10-18,19-033,4.0,126.0,0.0
4,5.0,Sergio Busquets,MF,1.es Barcelona,"Sabadell, Spain",1988-07-16,34-127,4.0,363.0,0.0
5,20.0,Dani Carvajal,DF,1.es Real Madrid,"Leganés, Spain",1992-01-11,30-313,2.0,135.0,0.0
6,25.0,Ansu Fati,FW,1.es Barcelona,"Bissau, Guinea-Bissau",2002-10-31,20-020,2.0,46.0,0.0
7,3.0,Eric García,DF,1.es Barcelona,"Barcelona, Spain",2001-01-09,21-315,0.0,,
8,9.0,Gavi,MF,1.es Barcelona,"Los Palacios y Villafranca, Spain",2004-08-05,18-107,4.0,284.0,1.0
9,15.0,Hugo Guillamón,"DF,MF",1.es Valencia,"San Sebastián, Spain",2000-01-31,22-293,0.0,,
10,8.0,Koke,MF,1.es Atlético Madrid,"Madrid, Spain",1992-01-08,30-316,2.0,52.0,0.0
11,24.0,Aymeric Laporte,DF,1.eng Manchester City,"Agen, France",1994-05-27,28-177,3.0,300.0,0.0
12,6.0,Marcos Llorente,DF,1.es Atlético Madrid,"Madrid, Spain",1995-01-30,27-294,1.0,120.0,0.0
13,7.0,Álvaro Morata,FW,1.es Atlético Madrid,"Madrid, Spain",1992-10-23,30-028,4.0,185.0,3.0
14,21.0,Dani Olmo,FW,1.de RB Leipzig,"Terrassa, Spain",1998-05-07,24-197,4.0,367.0,1.0
15,26.0,Pedri,MF,1.es Barcelona,"Bajamar, Spain",2002-11-25,19-360,4.0,356.0,0.0
16,17.0,Yeremi Pino,"FW,MF",1.es Villarreal,"Las Palmas de Gran Canaria, Spain",2002-10-20,20-031,0.0,,
17,13.0,David Raya,"FW,GK",1.eng Brentford,"Barcelona, Spain",1995-09-15,27-066,0.0,,
18,16.0,Rodri,DF,1.eng Manchester City,"Madrid, Spain",1996-06-22,26-151,4.0,390.0,0.0
19,1.0,Robert Sánchez,GK,1.eng Brighton,"Cartagena, Spain",1997-11-18,25-002,0.0,,
20,22.0,Pablo Sarabia,FW,1.fr Paris S-G,"Madrid, Spain",1992-05-11,30-193,1.0,3.0,0.0
21,23.0,Unai Simón,GK,1.es Athletic Club,"Gasteiz / Vitoria, Spain",1997-06-11,25-162,4.0,390.0,0.0
22,19.0,Carlos Soler,MF,1.fr Paris S-G,"Valencia, Spain",1997-01-02,25-322,2.0,92.0,1.0
23,11.0,Ferrán Torres,FW,1.es Barcelona,"Foios, Spain",2000-02-29,22-264,4.0,217.0,2.0
24,4.0,Pau Torres,DF,1.es Villarreal,"Villarreal, Spain",1997-01-16,25-308,1.0,90.0,0.0
25,12.0,Nico Williams,FW,1.es Athletic Club,"Pamplona, Spain",2002-07-12,20-131,4.0,146.0,0.0
0,11.0,Brenden Aaronson,MF,1.eng Leeds United,"Medford, NJ, United States",2000-10-22,22-029,4.0,108.0,0.0
1,23.0,Kellyn Acosta,MF,1.us Los Angeles FC,"Plano, TX, United States",1995-07-24,27-119,2.0,43.0,0.0
2,4.0,Tyler Adams,MF,1.eng Leeds United,"Wappingers Falls, NY, United States",1999-02-14,23-279,4.0,360.0,0.0
3,20.0,Cameron Carter-Vickers,DF,1.sct Celtic,"Southend-on-Sea, England, United Kingdom",1997-12-31,24-324,1.0,90.0,0.0
4,2.0,Sergiño Dest,DF,1.it Milan,"Almere Stad, Netherlands",2000-11-03,22-017,4.0,305.0,0.0
5,9.0,Jesús Ferreira,FW,1.us FC Dallas,"Santa Marta, Colombia",2000-12-24,21-331,1.0,45.0,0.0
6,12.0,Ethan Horvath,GK,2.eng Luton Town,"Highlands Ranch, CO, United States",1995-06-09,27-164,0.0,,
7,25.0,Sean Johnson,GK,1.us NYCFC,"Lilburn, GA, United States",1989-05-31,33-173,0.0,,
8,14.0,Luca de la Torre,MF,1.es Celta Vigo,"San Diego, CA, United States",1998-05-23,24-181,0.0,,
9,15.0,Aaron Long,DF,1.us NY Red Bulls,"Oak Hills, CA, United States",1992-10-12,30-039,0.0,,
10,8.0,Weston McKennie,MF,1.it Juventus,"Little Elm, TX, United States",1998-08-28,24-084,4.0,271.0,0.0
11,18.0,Shaquell Moore,DF,1.us Nashville,"Powder Springs, GA, United States",1996-11-02,26-018,2.0,22.0,0.0
12,16.0,Jordan Morris,"FW,DF",1.us Seattle,"Seattle, WA, United States",1994-10-26,28-025,2.0,4.0,0.0
13,6.0,Yunus Musah,MF,1.es Valencia,"The Bronx, NY, United States",2002-11-29,19-356,4.0,343.0,0.0
14,10.0,Christian Pulisic,"FW,MF",1.eng Chelsea,"Easton, PA, United States",1998-09-18,24-063,4.0,315.0,1.0
15,13.0,Tim Ream,DF,1.eng Fulham,"St. Louis, MO, United States",1987-10-05,35-046,4.0,360.0,0.0
16,7.0,Gio Reyna,FW,1.de Dortmund,"Durham, England, United Kingdom",2002-11-13,20-007,2.0,53.0,0.0
17,5.0,Antonee Robinson,DF,1.eng Fulham,"Milton Keynes, England, United Kingdom",1997-08-08,25-104,4.0,359.0,0.0
18,17.0,Cristian Roldan,"FW,MF",1.us Seattle,"Pico Rivera, CA, United States",1995-06-03,27-170,0.0,,
19,24.0,Josh Sargent,FW,2.eng Norwich City,"O'Fallon, MO, United States",2000-02-20,22-273,3.0,157.0,0.0
20,26.0,Joe Scally,DF,1.de M'Gladbach,"Lake Grove, NY, United States",2002-12-31,19-324,0.0,,
21,1.0,Matt Turner,GK,1.eng Arsenal,"Park Ridge, NJ, United States",1994-06-24,28-149,4.0,360.0,0.0
22,21.0,Timothy Weah,FW,1.fr Lille,"Brooklyn, NY, United States",2000-02-22,22-271,4.0,316.0,1.0
23,19.0,Haji Wright,FW,1.tr Antalyaspor,"Los Angeles, CA, United States",1998-03-27,24-238,4.0,137.0,1.0
24,22.0,DeAndre Yedlin,DF,1.us Inter Miami,"Seattle, WA, United States",1993-07-09,29-134,2.0,33.0,0.0
25,3.0,Walker Zimmerman,DF,1.us Nashville,"Lawrenceville, GA, United States",1993-05-19,29-185,4.0,279.0,0.0
0,5.0,Jan Bednarek,DF,1.eng Aston Villa,"Słupca, Poland",1996-04-12,26-222,1.0,5.0,0.0
1,18.0,Bartosz Bereszyński,DF,1.it Sampdoria,"Poznań, Poland",1992-07-12,30-131,4.0,341.0,0.0
2,6.0,Krystian Bielik,MF,3.eng Derby County,"Konin, Poland",1998-01-04,24-320,4.0,216.0,0.0
3,2.0,Matty Cash,DF,1.eng Aston Villa,"Slough, England, United Kingdom",1997-08-07,25-105,4.0,360.0,0.0
4,24.0,Przemysław Frankowski,MF,1.fr Lens,"Gdańsk, Poland",1995-04-12,27-222,4.0,240.0,0.0
5,15.0,Kamil Glik,DF,2.it Benevento,"Jastrzębie Zdrój, Poland",1988-02-03,34-290,4.0,360.0,0.0
6,22.0,Kamil Grabara,GK,1.dk FC Copenhagen,"Ruda Śląska, Poland",1999-01-08,23-316,0.0,,
7,11.0,Kamil Grosicki,MF,1.pl Pogoń Szczecin,"Szczecin, Poland",1988-06-08,34-165,1.0,4.0,0.0
8,25.0,Robert Gumny,DF,1.de Augsburg,"Poznań, Poland",1998-06-04,24-169,0.0,,
9,3.0,Artur Jędrzejczyk,DF,1.pl Legia Warsaw,"Dębica, Poland",1987-11-04,35-016,1.0,19.0,0.0
10,13.0,Jakub Kamiński,MF,1.de Wolfsburg,"Ruda Śląska, Poland",2002-06-05,20-168,4.0,233.0,0.0
11,14.0,Jakub Kiwior,DF,1.it Spezia,"Tychy, Poland",2000-02-15,22-278,4.0,355.0,0.0
12,10.0,Grzegorz Krychowiak,MF,1.sa Al-Shabab,"Gryfice, Poland",1990-01-29,32-295,4.0,332.0,0.0
13,9.0,Robert Lewandowski,FW,1.es Barcelona,"Warsaw, Poland",1988-08-21,34-091,4.0,360.0,2.0
14,7.0,Arkadiusz Milik,"FW,MF",1.it Juventus,"Tychy, Poland",1994-02-28,28-265,3.0,101.0,0.0
15,23.0,Krzysztof Piątek,FW,1.it Salernitana,"Dzierżoniów, Poland",1995-07-01,27-142,2.0,28.0,0.0
16,26.0,Michał Skóraś,MF,1.pl Lech Poznań,"Jastrzębie Zdrój, Poland",2000-02-15,22-278,1.0,45.0,0.0
17,12.0,Łukasz Skorupski,GK,1.it Bologna,"Zabrze, Poland",1991-05-05,31-199,0.0,,
18,16.0,Karol Świderski,FW,1.us Charlotte,"Rawicz, Poland",1997-01-23,25-301,1.0,45.0,0.0
19,1.0,Wojciech Szczęsny,GK,1.it Juventus,"Warsaw, Poland",1990-04-18,32-216,4.0,360.0,0.0
20,8.0,Damian Szymański,MF,1.gr AEK Athens,"Kraśnik, Poland",1995-06-16,27-157,1.0,29.0,0.0
21,19.0,Sebastian Szymański,MF,1.nl Feyenoord,"Biała Podlaska, Poland",1999-05-10,23-194,2.0,134.0,0.0
22,4.0,Mateusz Wieteska,DF,1.fr Clermont Foot,"Warsaw, Poland",1997-02-11,25-282,0.0,,
23,21.0,Nicola Zalewski,MF,1.it Roma,"Tivoli, Italy",2002-01-23,20-301,2.0,65.0,0.0
24,20.0,Piotr Zieliński,"MF,FW",1.it Napoli,"Ząbkowice Śląskie, Poland",1994-05-20,28-184,4.0,328.0,1.0
25,17.0,Szymon Żurkowski,MF,1.it Fiorentina,"Tychy, Poland",1997-09-25,25-056,0.0,,
0,12.0,Song Bumkeun,GK,1.kr Jeonbuk,"Seongnam-si, Korea Republic",1997-10-15,25-036,0.0,,
1,22.0,Kwon Chang-hoon,"FW,MF",1.kr Sangju Sangmu,Korea Republic,1994-06-30,28-143,1.0,56.0,0.0
2,14.0,Hong Chul,DF,1.kr Daegu,"Seongnam-si, Korea Republic",1990-09-17,32-064,1.0,45.0,0.0
3,9.0,Cho Guesung,FW,1.kr Jeonbuk,"Ansan-si, Korea Republic",1998-01-25,24-299,4.0,275.0,2.0
4,11.0,Hwang Hee-chan,"MF,FW",1.eng Wolves,"Chuncheon, Korea Republic",1996-01-26,26-298,2.0,115.0,1.0
5,7.0,Son Heung-min,"FW,MF",1.eng Tottenham,"Chuncheon, Korea Republic",1992-07-08,30-135,4.0,360.0,0.0
6,21.0,Cho Hyun-woo,GK,1.kr Ulsan Hyundai,"Seoul, Korea Republic",1991-09-25,31-056,0.0,,
7,6.0,Hwang In-beom,MF,1.gr Olympiacos,Korea Republic,1996-09-20,26-061,4.0,334.0,0.0
8,10.0,Lee Jae-sung,"MF,FW",1.de Mainz 05,Korea Republic,1992-08-10,30-102,3.0,211.0,0.0
9,3.0,Kim Jin-su,DF,1.kr Jeonbuk,"Jeonju, Korea Republic",1992-06-13,30-160,4.0,315.0,0.0
10,2.0,Yoon Jong-gyu,"DF,MF",1.kr FC Seoul,"Pohang-si, Korea Republic",1998-03-20,24-245,0.0,,
11,13.0,Son Jun-ho,"MF,DF",1.cn Shandong Lunen,"Yeongdeok-gun, Korea Republic",1992-05-12,30-192,3.0,72.0,0.0
12,18.0,Lee Kangin,"MF,FW",1.es Mallorca,Korea Republic,2001-02-19,21-274,4.0,147.0,0.0
13,20.0,Kwon Kyung-won,DF,1.jp Gamba Osaka,"Seoul, Korea Republic",1992-01-31,30-293,2.0,91.0,0.0
14,4.0,Kim Min-jae,DF,1.it Napoli,"Tongyeong, Korea Republic",1996-11-15,26-005,3.0,269.0,0.0
15,26.0,Song Minkyu,"FW,MF",1.kr Jeonbuk,"Nonsan, Korea Republic",1999-09-12,23-069,0.0,,
16,15.0,Kim Moonhwan,DF,1.kr Jeonbuk,"Hwaseong-si, Korea Republic",1995-08-01,27-111,4.0,360.0,0.0
17,17.0,Na Sang-ho,FW,1.kr FC Seoul,"Damyang, Korea Republic",1996-08-12,26-100,2.0,119.0,0.0
18,1.0,Kim Seung-gyu,GK,1.sa Al-Shabab,Korea Republic,1990-09-30,32-051,4.0,360.0,0.0
19,8.0,Paik Seung-ho,MF,1.kr Jeonbuk,"Seoul, Korea Republic",1997-03-17,25-248,1.0,26.0,1.0
20,23.0,Kim Tae-hwan,"DF,MF",1.kr Ulsan Hyundai,"Gwangju, Korea Republic",1989-07-24,33-119,0.0,,
21,16.0,Hwang Ui-jo,"FW,MF",1.gr Olympiacos,"Seongnam-si, Korea Republic",1992-08-28,30-084,4.0,106.0,0.0
22,25.0,Jeong Woo-yeong,MF,1.de Freiburg,Korea Republic,1999-09-20,23-061,1.0,45.0,0.0
23,5.0,Jung Woo-young,MF,1.qa Al Sadd SC,Korea Republic,1989-12-14,32-341,4.0,303.0,0.0
24,19.0,Kim Young-gwon,DF,1.kr Ulsan Hyundai,"Jeonju, Korea Republic",1990-02-27,32-266,4.0,350.0,1.0
25,24.0,Cho Yumin,FW,2.kr Daejeon Citizen FC,Korea Republic,1996-11-17,26-003,1.0,1.0,0.0
0,24.0,Karim Adeyemi,FW,1.de Dortmund,"München, Germany",2002-01-18,20-306,0.0,,
1,25.0,Armel Bella Kotchap,DF,1.eng Southampton,"Paris, France",2001-12-11,20-344,0.0,,
2,17.0,Julian Brandt,"FW,MF",1.de Dortmund,"Bremen, Germany",1996-05-02,26-202,0.0,,
3,9.0,Niclas Füllkrug,FW,1.de Werder Bremen,"Hannover, Germany",1993-02-09,29-284,3.0,69.0,2.0
4,4.0,Matthias Ginter,DF,1.de Freiburg,"Freiburg, Germany",1994-01-19,28-305,1.0,1.0,0.0
5,10.0,Serge Gnabry,"FW,MF",1.de Bayern Munich,"Stuttgart, Germany",1995-07-14,27-129,3.0,263.0,1.0
6,8.0,Leon Goretzka,MF,1.de Bayern Munich,"Bochum, Germany",1995-02-06,27-287,3.0,159.0,0.0
7,11.0,Mario Götze,MF,1.de Eint Frankfurt,"Memmingen, Germany",1992-06-03,30-170,2.0,36.0,0.0
8,21.0,İlkay Gündoğan,MF,1.eng Manchester City,"Gelsenkirchen, Germany",1990-10-24,32-027,3.0,189.0,1.0
9,20.0,Christian Günter,"DF,MF",1.de Freiburg,"Villingen-Schwenningen, Germany",1993-02-28,29-265,0.0,,
10,7.0,Kai Havertz,FW,1.eng Chelsea,"Aachen, Germany",1999-06-11,23-162,2.0,102.0,2.0
11,18.0,Jonas Hofmann,FW,1.de M'Gladbach,"Heidelberg, Germany",1992-07-14,30-129,2.0,30.0,0.0
12,5.0,Thilo Kehrer,DF,1.eng West Ham,"Tübingen, Germany",1996-09-21,26-060,1.0,69.0,0.0
13,6.0,Joshua Kimmich,"MF,DF",1.de Bayern Munich,"Rottweil, Germany",1995-02-08,27-285,3.0,270.0,0.0
14,16.0,Lukas Klostermann,DF,1.de RB Leipzig,"Herdecke, Germany",1996-06-03,26-170,2.0,66.0,0.0
15,26.0,Youssoufa Moukoko,FW,1.de Dortmund,"Yaoundé, Cameroon",2004-11-20,18-000,1.0,1.0,0.0
16,13.0,Thomas Müller,"FW,MF",1.de Bayern Munich,"Weilheim, Germany",1989-09-13,33-068,3.0,201.0,0.0
17,14.0,Jamal Musiala,"MF,FW",1.de Bayern Munich,"Stuttgart, Germany",2003-02-26,19-267,3.0,258.0,0.0
18,1.0,Manuel Neuer,GK,1.de Bayern Munich,"Gelsenkirchen, Germany",1986-03-27,36-238,3.0,270.0,0.0
19,3.0,David Raum,DF,1.de RB Leipzig,"Nürnberg, Germany",1998-04-22,24-212,3.0,242.0,0.0
20,2.0,Antonio Rüdiger,DF,1.es Real Madrid,"Berlin, Germany",1993-03-03,29-262,3.0,270.0,0.0
21,19.0,Leroy Sané,"FW,DF",1.de Bayern Munich,"Essen, Germany",1996-01-11,26-313,2.0,111.0,0.0
22,23.0,Nico Schlotterbeck,DF,1.de Dortmund,"Waiblingen, Germany",1999-12-01,22-354,2.0,94.0,0.0
23,15.0,Niklas Süle,DF,1.de Dortmund,"Frankfurt am Main, Germany",1995-09-03,27-078,3.0,269.0,0.0
24,22.0,Marc-André ter Stegen,GK,1.es Barcelona,"Mönchengladbach, Germany",1992-04-30,30-204,0.0,,
